Group,Unit,Scores/40
Experimental,1. Transport Across Membrane,30
Experimental,1. Transport Across Membrane,33
Experimental,1. Transport Across Membrane,28
Experimental,1. Transport Across Membrane,24
Experimental,1. Transport Across Membrane,23
Experimental,1. Transport Across Membrane,27
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,31
Experimental,1. Transport Across Membrane,30
Experimental,1. Transport Across Membrane,29
Experimental,1. Transport Across Membrane,25
Experimental,1. Transport Across Membrane,27
Experimental,1. Transport Across Membrane,30
Experimental,1. Transport Across Membrane,17
Experimental,1. Transport Across Membrane,33
Experimental,1. Transport Across Membrane,33
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,31
Experimental,1. Transport Across Membrane,31
Experimental,1. Transport Across Membrane,29
Experimental,1. Transport Across Membrane,31
Experimental,1. Transport Across Membrane,23
Experimental,1. Transport Across Membrane,26
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,25
Experimental,1. Transport Across Membrane,30
Experimental,1. Transport Across Membrane,28
Experimental,1. Transport Across Membrane,30
Experimental,1. Transport Across Membrane,28
Experimental,1. Transport Across Membrane,26
Experimental,1. Transport Across Membrane,35
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,34
Experimental,1. Transport Across Membrane,26
Experimental,1. Transport Across Membrane,29
Experimental,1. Transport Across Membrane,25
Experimental,1. Transport Across Membrane,22
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,34
Experimental,1. Transport Across Membrane,28
Experimental,1. Transport Across Membrane,31
Experimental,1. Transport Across Membrane,32
Experimental,1. Transport Across Membrane,28
Experimental,1. Transport Across Membrane,29
Control,1. Transport Across Membrane,28
Control,1. Transport Across Membrane,14
Control,1. Transport Across Membrane,18
Control,1. Transport Across Membrane,23
Control,1. Transport Across Membrane,29
Control,1. Transport Across Membrane,18
Control,1. Transport Across Membrane,15
Control,1. Transport Across Membrane,19
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,24
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,12
Control,1. Transport Across Membrane,30
Control,1. Transport Across Membrane,16
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,15
Control,1. Transport Across Membrane,22
Control,1. Transport Across Membrane,20
Control,1. Transport Across Membrane,19
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,20
Control,1. Transport Across Membrane,25
Control,1. Transport Across Membrane,23
Control,1. Transport Across Membrane,22
Control,1. Transport Across Membrane,21
Control,1. Transport Across Membrane,32
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,26
Control,1. Transport Across Membrane,17
Control,1. Transport Across Membrane,30
Control,1. Transport Across Membrane,21
Control,1. Transport Across Membrane,17
Control,1. Transport Across Membrane,22
Control,1. Transport Across Membrane,19
Control,1. Transport Across Membrane,20
Control,1. Transport Across Membrane,27
Control,1. Transport Across Membrane,25
Control,1. Transport Across Membrane,24
Control,1. Transport Across Membrane,12
Control,1. Transport Across Membrane,24
Experimental,2. DNA Structure and Function,35
Experimental,2. DNA Structure and Function,27
Experimental,2. DNA Structure and Function,32
Experimental,2. DNA Structure and Function,31
Experimental,2. DNA Structure and Function,34
Experimental,2. DNA Structure and Function,28
Experimental,2. DNA Structure and Function,31
Experimental,2. DNA Structure and Function,33
Experimental,2. DNA Structure and Function,28
Experimental,2. DNA Structure and Function,29
Experimental,2. DNA Structure and Function,29
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,34
Experimental,2. DNA Structure and Function,24
Experimental,2. DNA Structure and Function,35
Experimental,2. DNA Structure and Function,32
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,37
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,32
Experimental,2. DNA Structure and Function,32
Experimental,2. DNA Structure and Function,26
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,29
Experimental,2. DNA Structure and Function,29
Experimental,2. DNA Structure and Function,27
Experimental,2. DNA Structure and Function,33
Experimental,2. DNA Structure and Function,33
Experimental,2. DNA Structure and Function,31
Experimental,2. DNA Structure and Function,29
Experimental,2. DNA Structure and Function,34
Experimental,2. DNA Structure and Function,35
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,31
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,24
Experimental,2. DNA Structure and Function,34
Experimental,2. DNA Structure and Function,32
Experimental,2. DNA Structure and Function,35
Experimental,2. DNA Structure and Function,34
Experimental,2. DNA Structure and Function,33
Experimental,2. DNA Structure and Function,30
Experimental,2. DNA Structure and Function,34
Control,2. DNA Structure and Function,28
Control,2. DNA Structure and Function,23
Control,2. DNA Structure and Function,17
Control,2. DNA Structure and Function,26
Control,2. DNA Structure and Function,27
Control,2. DNA Structure and Function,22
Control,2. DNA Structure and Function,17
Control,2. DNA Structure and Function,21
Control,2. DNA Structure and Function,16
Control,2. DNA Structure and Function,30
Control,2. DNA Structure and Function,31
Control,2. DNA Structure and Function,18
Control,2. DNA Structure and Function,28
Control,2. DNA Structure and Function,32
Control,2. DNA Structure and Function,25
Control,2. DNA Structure and Function,18
Control,2. DNA Structure and Function,17
Control,2. DNA Structure and Function,28
Control,2. DNA Structure and Function,27
Control,2. DNA Structure and Function,28
Control,2. DNA Structure and Function,13
Control,2. DNA Structure and Function,27
Control,2. DNA Structure and Function,28
Control,2. DNA Structure and Function,29
Control,2. DNA Structure and Function,21
Control,2. DNA Structure and Function,29
Control,2. DNA Structure and Function,31
Control,2. DNA Structure and Function,24
Control,2. DNA Structure and Function,22
Control,2. DNA Structure and Function,24
Control,2. DNA Structure and Function,23
Control,2. DNA Structure and Function,20
Control,2. DNA Structure and Function,22
Control,2. DNA Structure and Function,23
Control,2. DNA Structure and Function,23
Control,2. DNA Structure and Function,25
Control,2. DNA Structure and Function,17
Control,2. DNA Structure and Function,29
Control,2. DNA Structure and Function,22
Control,2. DNA Structure and Function,19
