Timestamp,id,Age in years,Sex,1. Biology is very interesting to me.,"2. I don't like biology, and it scares me to have to take it.",3. I am always under a terrible strain in a biology class.,4. Biology is fascinating and fun,"5. Biology makes me feel secure, and at the same time, it is stimulating.","6. Biology makes me feel uncomfortable, restless, irritable, and impatient.","7. In general, I have a good feeling toward biology.","8. When I hear the word biology, I have a feeling of dislike.",9. I approach biology with a feeling of hesitation.,10. I really like biology.,11. I have always enjoyed studying biology in school.,12. It makes me nervous to even think about doing a biology experiment.,13. I feel at ease in biology and like it very much.,14. I feel a definite positive reaction to biology; it's enjoyable.,sum,Biology is,Biology is,Biology is,Biology is ,Biology is,Biology is ,Biology is ,Biology is
2021/12/13 3:18:41 PM GMT+2,1,18,Female,5,1,4,5,4,1,5,1,4,5,5,5,5,5,55,1,2,5,5,4,4,1,4
2021/12/13 3:20:18 PM GMT+2,2,19,Female,5,1,4,5,5,1,5,1,1,5,5,5,5,5,53,1,1,4,5,1,5,1,1
2021/12/13 3:22:44 PM GMT+2,3,18,Female,5,1,1,4,5,1,5,1,4,5,5,1,5,1,44,1,1,5,5,1,5,1,1
2021/12/13 3:24:10 PM GMT+2,4,19,Female,5,1,1,4,5,1,5,1,2,5,5,1,5,4,45,1,1,5,5,1,5,1,1
2021/12/13 3:26:44 PM GMT+2,5,18,Female,5,1,2,2,5,2,5,2,2,5,4,2,5,5,47,1,1,5,4,3,5,2,2
2021/12/13 3:29:30 PM GMT+2,6,17,Female,4,1,2,5,4,2,4,1,2,5,5,2,4,5,46,1,1,4,5,1,4,1,1
2021/12/13 3:31:44 PM GMT+2,7,17,Female,5,2,2,2,2,4,5,2,2,5,4,1,4,5,46,1,1,4,4,2,5,2,4
2021/12/13 3:50:55 PM GMT+2,8,17,Female,5,1,5,5,4,1,5,1,2,5,5,1,5,5,50,1,1,5,5,1,5,1,1
2021/12/13 3:53:35 PM GMT+2,9,9,Female,5,2,3,3,4,1,4,2,3,4,5,5,4,4,50,1,2,4,4,2,4,2,2
2021/12/13 3:55:33 PM GMT+2,10,18,Female,5,2,4,4,1,3,5,1,2,5,5,4,4,5,50,1,2,4,5,2,4,1,1
2021/12/13 4:08:15 PM GMT+2,11,18,Female,4,2,2,1,4,1,5,1,2,5,5,1,5,5,43,1,1,5,5,2,3,1,1
2021/12/13 4:15:01 PM GMT+2,12,17,Female,5,1,1,1,4,2,4,2,2,5,2,4,2,5,40,1,2,5,4,2,5,1,3
2021/12/13 4:18:54 PM GMT+2,13,19,Female,4,2,4,4,4,2,5,2,4,5,5,5,5,5,56,2,2,4,5,2,5,2,1
2021/12/13 4:22:43 PM GMT+2,14,17,Female,5,1,1,1,5,4,5,1,1,5,5,4,5,5,50,1,1,5,4,1,5,1,3
2021/12/13 4:38:05 PM GMT+2,15,15,Female,5,1,1,2,5,1,5,1,3,5,4,3,5,4,45,4,1,5,5,2,5,1,1
2021/12/13 4:39:33 PM GMT+2,16,17,Female,5,1,1,5,5,1,5,1,2,5,5,5,5,5,51,1,1,5,5,1,5,1,1
2021/12/13 4:41:45 PM GMT+2,17,17,Female,5,1,4,4,4,4,5,5,1,5,4,5,4,4,55,1,2,5,5,1,5,1,1
2021/12/13 4:43:00 PM GMT+2,18,17,Female,5,1,2,2,4,1,5,1,5,5,5,4,4,4,48,1,1,5,5,1,5,1,1
2021/12/13 4:44:33 PM GMT+2,19,18,Female,5,1,3,4,4,2,5,1,2,4,5,5,3,5,49,1,2,5,5,2,5,2,1
2021/12/13 4:47:03 PM GMT+2,20,17,Female,4,2,5,1,2,1,5,1,5,5,5,4,4,4,48,1,1,4,5,2,5,1,2
2021/12/13 4:48:37 PM GMT+2,21,17,Female,5,2,1,4,4,1,4,1,2,5,2,1,4,4,40,1,1,4,4,2,4,1,1
2021/12/13 4:50:08 PM GMT+2,22,17,Female,5,2,2,3,5,4,5,1,2,5,5,4,4,4,51,1,2,3,4,2,5,1,4
2021/12/13 4:51:42 PM GMT+2,23,16,Female,4,1,1,2,5,1,5,1,2,5,4,1,5,4,41,1,2,5,5,1,4,1,2
2021/12/13 4:53:18 PM GMT+2,24,18,Female,5,1,4,5,4,1,5,1,2,5,5,5,5,5,53,1,2,4,4,2,4,1,1
2021/12/13 4:55:16 PM GMT+2,25,16,Female,5,2,1,3,2,2,4,1,2,5,4,5,4,3,43,1,3,3,3,4,5,1,3
2021/12/13 4:59:58 PM GMT+2,26,16,Female,4,1,3,2,4,1,5,1,1,5,5,4,4,4,44,1,2,4,4,3,5,1,2
2021/12/13 5:01:24 PM GMT+2,27,19,Female,4,1,1,4,4,2,4,2,2,5,4,4,4,4,45,2,2,4,4,2,4,2,2
2021/12/13 5:02:44 PM GMT+2,28,17,Female,5,1,5,5,4,5,2,1,5,5,5,4,5,3,55,1,1,3,5,3,5,1,1
2021/12/13 5:04:19 PM GMT+2,29,18,Female,5,1,1,5,5,1,5,1,2,5,4,1,4,4,44,1,1,5,5,1,5,1,1
2021/12/13 5:06:49 PM GMT+2,31,17,Female,5,1,1,5,5,1,4,1,1,5,5,1,4,5,44,3,5,4,4,2,5,3,3
2021/12/13 5:08:33 PM GMT+2,32,17,Female,4,1,1,4,5,1,5,1,2,4,4,2,4,4,42,2,2,5,4,2,4,2,2
2021/12/13 5:10:12 PM GMT+2,33,17,Female,4,2,1,3,5,2,4,3,5,4,4,2,4,5,48,1,1,3,4,3,5,2,3
2021/12/13 5:11:48 PM GMT+2,34,17,Female,4,2,4,4,5,4,5,5,4,5,5,5,5,4,61,1,2,3,4,2,3,1,2
2021/12/13 5:13:43 PM GMT+2,35,17,Female,5,1,2,4,1,5,4,1,2,4,4,1,4,4,42,1,1,5,5,1,5,1,2
2021/12/13 5:15:17 PM GMT+2,36,18,Female,5,1,2,4,3,1,5,2,4,5,5,2,5,5,49,1,1,3,5,3,5,1,1
2021/12/13 5:16:45 PM GMT+2,37,16,Female,5,1,1,2,4,1,5,1,1,5,5,1,5,4,41,1,2,5,5,1,4,1,2
2021/12/13 5:18:20 PM GMT+2,38,17,Female,4,1,2,4,2,2,5,2,2,5,5,4,4,4,46,2,2,5,5,1,5,2,1
2021/12/13 5:19:44 PM GMT+2,39,17,Female,5,4,4,3,5,2,4,2,4,4,5,4,5,4,55,1,2,4,5,1,5,1,2
2021/12/13 5:21:13 PM GMT+2,40,17,Female,4,5,1,4,5,3,4,1,5,4,2,4,4,5,51,1,2,3,3,1,5,1,1
2021/12/13 5:27:50 PM GMT+2,30,17,Female,2,1,4,5,4,5,4,5,2,2,4,4,4,5,51,2,1,5,4,2,3,2,1
