Test,Group,Score
Pretest,Control,59
Pretest,Control,63
Pretest,Control,62
Pretest,Control,67
Pretest,Control,61
Pretest,Control,62
Pretest,Control,55
Pretest,Control,64
Pretest,Control,53
Pretest,Control,54
Pretest,Control,61
Pretest,Control,52
Pretest,Control,54
Pretest,Control,60
Pretest,Control,61
Pretest,Control,65
Pretest,Control,51
Pretest,Control,56
Pretest,Control,57
Pretest,Control,48
Pretest,Control,60
Pretest,Control,57
Pretest,Control,63
Pretest,Control,61
Pretest,Control,53
Pretest,Control,58
Pretest,Control,57
Pretest,Control,49
Pretest,Control,66
Pretest,Control,68
Pretest,Control,62
Pretest,Control,54
Pretest,Control,49
Pretest,Control,54
Pretest,Control,61
Pretest,Control,65
Pretest,Control,56
Pretest,Control,51
Pretest,Control,49
Pretest,Control,45
Posttest,Control,62
Posttest,Control,58
Posttest,Control,55
Posttest,Control,60
Posttest,Control,62
Posttest,Control,58
Posttest,Control,59
Posttest,Control,63
Posttest,Control,59
Posttest,Control,55
Posttest,Control,46
Posttest,Control,61
Posttest,Control,65
Posttest,Control,58
Posttest,Control,62
Posttest,Control,61
Posttest,Control,65
Posttest,Control,50
Posttest,Control,61
Posttest,Control,61
Posttest,Control,49
Posttest,Control,59
Posttest,Control,48
Posttest,Control,61
Posttest,Control,66
Posttest,Control,59
Posttest,Control,54
Posttest,Control,61
Posttest,Control,59
Posttest,Control,55
Posttest,Control,60
Posttest,Control,60
Posttest,Control,63
Posttest,Control,55
Posttest,Control,65
Posttest,Control,61
Posttest,Control,64
Posttest,Control,47
Posttest,Control,53
Posttest,Control,66
Pretest,Experimental,69
Pretest,Experimental,48
Pretest,Experimental,53
Pretest,Experimental,60
Pretest,Experimental,43
Pretest,Experimental,56
Pretest,Experimental,62
Pretest,Experimental,56
Pretest,Experimental,59
Pretest,Experimental,63
Pretest,Experimental,56
Pretest,Experimental,63
Pretest,Experimental,61
Pretest,Experimental,63
Pretest,Experimental,57
Pretest,Experimental,66
Pretest,Experimental,62
Pretest,Experimental,55
Pretest,Experimental,58
Pretest,Experimental,63
Pretest,Experimental,59
Pretest,Experimental,63
Pretest,Experimental,70
Pretest,Experimental,66
Pretest,Experimental,42
Pretest,Experimental,68
Pretest,Experimental,42
Pretest,Experimental,62
Pretest,Experimental,61
Pretest,Experimental,46
Pretest,Experimental,66
Pretest,Experimental,61
Pretest,Experimental,56
Pretest,Experimental,67
Pretest,Experimental,64
Pretest,Experimental,64
Pretest,Experimental,56
Pretest,Experimental,63
Pretest,Experimental,68
Pretest,Experimental,63
Pretest,Experimental,57
Pretest,Experimental,57
Posttest,Experimental,56
Posttest,Experimental,66
Posttest,Experimental,59
Posttest,Experimental,67
Posttest,Experimental,64
Posttest,Experimental,62
Posttest,Experimental,55
Posttest,Experimental,56
Posttest,Experimental,66
Posttest,Experimental,69
Posttest,Experimental,57
Posttest,Experimental,60
Posttest,Experimental,61
Posttest,Experimental,68
Posttest,Experimental,56
Posttest,Experimental,57
Posttest,Experimental,56
Posttest,Experimental,70
Posttest,Experimental,68
Posttest,Experimental,66
Posttest,Experimental,64
Posttest,Experimental,70
Posttest,Experimental,59
Posttest,Experimental,54
Posttest,Experimental,59
Posttest,Experimental,69
Posttest,Experimental,56
Posttest,Experimental,57
Posttest,Experimental,62
Posttest,Experimental,64
Posttest,Experimental,65
Posttest,Experimental,56
Posttest,Experimental,62
Posttest,Experimental,66
Posttest,Experimental,64
Posttest,Experimental,68
Posttest,Experimental,60
Posttest,Experimental,57
Posttest,Experimental,62
Posttest,Experimental,60
Posttest,Experimental,59
Posttest,Experimental,60
