Timestamp,id,Sex,Age in years,1. I am engaged with the topic at hand,2. I put in a lot of effort understanding the topic. ,3. I wish I could still continue for a while,4. I am so involved that I forget everything around me,NAME,
2021/12/08 11:15:06 PM GMT+2,4,Female,18,4,2,3,2,IM,2.75
2021/12/12 5:15:49 PM GMT+2,13,Female,16,5,5,5,4,FK,4.75
2021/12/12 5:14:48 PM GMT+2,11,Female,18,5,4,4,3,UN,4
2021/12/08 11:12:32 PM GMT+2,1,Female,17,4,5,4,2,DN,3.75
2021/12/08 11:13:29 PM GMT+2,2,Female,17,4,4,5,5,AN,4.5
2021/12/08 11:14:26 PM GMT+2,3,Female,17,5,3,5,3,JN,4
2021/12/08 11:16:15 PM GMT+2,5,Female,17,5,5,5,4,NA,4.75
2021/12/12 5:10:28 PM GMT+2,10,Female,19,4,3,4,4,TN,3.75
2021/12/08 11:17:03 PM GMT+2,6,Female,17,5,4,4,1,IJ,3.5
2021/12/08 11:17:58 PM GMT+2,7,Female,17,5,5,2,4,DN,4
2021/12/12 5:07:54 PM GMT+2,8,Female,17,4,5,4,2,NT,3.75
2021/12/12 5:09:08 PM GMT+2,9,Female,17,5,5,5,3,YN,4.5
2021/12/12 5:18:15 PM GMT+2,17,Male,18,2,1,3,5,UK,2.75
2021/12/12 5:41:59 PM GMT+2,41,Male,18,5,5,5,5,NY,5
2021/12/12 5:15:21 PM GMT+2,12,Female,17,4,4,5,3,LN,4
2021/12/12 5:17:24 PM GMT+2,16,Female,17,4,5,4,5,AA,4.5
2021/12/12 5:16:20 PM GMT+2,14,Male,17,2,4,5,3,JJ,3.5
2021/12/12 5:43:31 PM GMT+2,42,Male,18,5,5,5,4,JM,4.75
2021/12/12 5:45:13 PM GMT+2,44,Male,18,4,5,5,4,HE,4.5
2021/12/12 5:31:06 PM GMT+2,27,Male,17,5,5,5,5,KB,5
2021/12/12 5:19:15 PM GMT+2,18,Male,16,1,5,2,5,IS,3.25
2021/12/12 5:20:28 PM GMT+2,19,Female,17,3,5,2,3,NA,3.25
2021/12/12 5:22:59 PM GMT+2,20,Female,17,5,5,4,4,KA,4.5
2021/12/12 5:16:53 PM GMT+2,15,Male,19,5,4,4,2,NS,3.75
2021/12/12 5:24:16 PM GMT+2,22,Female,17,4,5,5,2,US,4
2021/12/12 5:35:23 PM GMT+2,33,Male,16,5,1,5,4,KO,3.75
2021/12/12 5:26:18 PM GMT+2,23,Female,17,5,5,4,1,NN,3.75
2021/12/12 5:29:15 PM GMT+2,24,Female,17,4,2,5,2,JD,3.25
2021/12/12 5:29:56 PM GMT+2,25,Female,16,4,2,5,2,IJ,3.25
2021/12/12 5:41:01 PM GMT+2,40,Male,17,5,5,1,1,MN,3
2021/12/12 5:39:20 PM GMT+2,38,Female,16,4,4,3,4,NN,3.75
2021/12/12 5:34:51 PM GMT+2,32,Female,17,5,2,3,2,YN,3
2021/12/12 5:31:37 PM GMT+2,28,Female,17,5,5,5,5,DN,5
2021/12/12 5:30:30 PM GMT+2,26,Male,19,5,5,5,4,BS,4.75
2021/12/12 5:32:09 PM GMT+2,29,Male,20,4,3,4,2,HN,3.25
2021/12/12 5:44:29 PM GMT+2,43,Male,17,5,2,4,2,ID,3.25
2021/12/12 5:45:52 PM GMT+2,45,Male,19,5,2,5,3,MS,3.75
2021/12/12 5:33:29 PM GMT+2,30,Female,15,3,3,3,3,KN,3
2021/12/12 5:34:09 PM GMT+2,31,Female,16,4,5,4,3,IN,4
2021/12/12 5:35:59 PM GMT+2,34,Female,17,3,5,3,5,GJ,4
2021/12/12 5:36:58 PM GMT+2,35,Female,17,5,4,5,4,IK,4.5
2021/12/12 5:37:34 PM GMT+2,37,Female,17,4,5,5,5,AC,4.75
2021/12/12 5:40:09 PM GMT+2,39,Female,17,3,4,4,3,ME,3.5
2021/12/12 6:43:06 PM GMT+2,21,Female,17,5,4,5,4,MJ,4.5
